# time in s, flow in mm^3/s
3.955346393783498726e-02,-1.289263434387612506e+01
6.728685564189573753e-02,1.900820838349569385e+03
8.035460216701295622e-02,3.304520083178293135e+03
9.541424975374823703e-02,4.580474991791619686e+03
1.106490095217247394e-01,6.196847980737664329e+03
1.277881142606980269e-01,7.515267593301963643e+03
1.445551056145344404e-01,8.110298785159247927e+03
1.612126518550947019e-01,8.492568676808587043e+03
1.755718507168655407e-01,8.406851264091063058e+03
1.978986538251068517e-01,7.810156506511990301e+03
2.199846776841414275e-01,6.745386888475433807e+03
2.399912443909375526e-01,5.638152566487908189e+03
2.430119295173467364e-01,4.200000000000000000e+03
2.800043778045306908e-01,2.600000000000000000e+03
2.984130458575020572e-01,1.465667067965419847e+03
3.289044544161099370e-01,7.409653058990916179e+02
3.491736893947681164e-01,1.443581044106394984e+02
3.734267264966617539e-01,-7.077377695085888263e+02
3.854875779796427260e-01,-1.261442486592975911e+03
4.077268249972636482e-01,-2.028346284338404075e+03
4.322863084163288683e-01,-2.284710517675383016e+03
4.509357557185069698e-01,-2.030184962241433823e+03
4.840976250410418125e-01,-1.563510999233883922e+03
5.070592098062818298e-01,-9.261902156068717886e+02
5.277662252380428409e-01,-6.717522162635432323e+02
5.422129801904342905e-01,-5.872605888147081714e+02
5.690270329429789609e-01,-4.607420378680071735e+02
5.874138119732952301e-01,-7.168436029331242025e+02
6.078581591331941869e-01,-9.730327240888691449e+02
6.200503447521066303e-01,-1.271423880923717661e+03
6.525993214402974196e-01,-1.996213199080659251e+03
6.749480135711936057e-01,-2.550355696618145885e+03
7.053737550618361940e-01,-3.402714238809236122e+03
7.318813614972088377e-01,-3.871927328444780869e+03
7.687424756484619870e-01,-4.213921418408670434e+03
8.015978986538250251e-01,-4.342979095983359002e+03
8.306008536718834101e-01,-3.961234540877743711e+03
8.514392032395752263e-01,-3.451482981284887501e+03
8.764364671117430561e-01,-2.856802013790085766e+03
8.993323848090182260e-01,-2.347138010287839279e+03
9.304585750246248121e-01,-1.837824231148075341e+03
9.677355806063252519e-01,-1.371325380321763078e+03
1.005012586188026580e+00,-9.048265294954544515e+02
